"numero","id_bling","dataVenda","dataPedido","qtde_itens","custo","totalVenda","taxaLoja","CMV"
"43828","21549661159","2024-11-12","2024-11-12","1","164.08","272.79","22.93","60.14"
"43848","21553887791","2024-11-12","2024-11-12","1","164.08","272.79","22.93","60.14"
"43873","21559942743","2024-11-13","2024-11-13","1","164.08","272.79","22.93","60.14"
"43949","21574564961","2024-11-15","2024-11-15","1","164.08","272.79","22.93","60.14"
"43986","21579283108","2024-11-16","2024-11-16","1","164.08","272.79","22.93","60.14"
"44000","21580984823","2024-11-17","2024-11-17","1","164.08","272.79","22.93","60.14"
"44141","21609068149","2024-11-20","2024-11-20","1","164.08","272.79","22.93","60.14"
"43974","21577983136","2024-11-16","2024-11-16","1","175.63","273.97","21.46","64.1"
"43532","21493298704","2024-11-05","2024-11-05","0","328.16","278","16.99","59.02"
"43805","21542389543","2024-11-11","2024-11-11","1","95.66","297.26","22.69","64.36"
"44014","21584434084","2024-11-18","2024-11-18","1","95.66","297.26","22.69","64.36"
"43576","21501554887","2024-11-06","2024-11-06","0","95.61","299.54","22.67","63.83"
"43421","21472749077","2024-11-03","2024-11-03","0","94.16","324","12.99","58.12"
"43452","21479120512","2024-11-04","2024-11-04","0","100.08","338","12.99","59.21"
"43654","21517597498","2024-11-08","2024-11-08","0","98.60","338","11.5","58.34"
"43860","21556642031","2024-11-13","2024-11-13","1","94.39","338","18","55.85"
"43880","21560856462","2024-11-13","2024-11-13","1","290.56","340","0","85.45"
"44165","21614309311","2024-11-21","2024-11-21","2","192.13","355.34","23.37","27.03"
"43977","21578561161","2024-11-16","2024-11-16","1","220.00","364.7","11.49","60.32"
"43466","21481942023","2024-11-04","2024-11-04","0","282.27","364.89","21.05","77.35"
"44246","21628965025","2024-11-23","2024-11-23","1","112.80","367.72","22.17","61.35"
"43335","21464296018","2024-11-01","2024-11-01","1","118.30","374","15.54","63.26"
"43636","21514520577","2024-11-08","2024-11-08","1","234.04","376.73","16.49","62.12"
"44204","21621591534","2024-11-22","2024-11-22","1","40.40","389.39","22.24","62.24"
"44252","21629346336","2024-11-23","2024-11-23","3","265.51","390","0","22.69"
"43607","21510482246","2024-11-07","2024-11-07","0","290.46","419.76","10.99","69.19"
"43602","21509607279","2024-11-07","2024-11-07","2","294.09","420","0","35.01"
"43309","21461095581","2024-11-01","2024-11-01","1","310.00","447","13","69.35"
"43346","21465621827","2024-11-01","2024-11-01","1","310.00","447","13","69.35"
"43386","21469496882","2024-11-02","2024-11-02","0","310.00","447","13","69.35"
"43403","21471052803","2024-11-03","2024-11-03","0","310.00","447","13","69.35"
"43499","21488342449","2024-11-05","2024-11-05","0","310.00","447","13","69.35"
"43530","21493146421","2024-11-05","2024-11-05","0","310.00","447","13","69.35"
"43545","21497128392","2024-11-06","2024-11-06","0","310.00","447","13","69.35"
"43821","21546741614","2024-11-12","2024-11-12","1","310.00","447","13","69.35"
"43857","21556172895","2024-11-13","2024-11-13","1","310.00","447","13","69.35"
"43858","21556418188","2024-11-13","2024-11-13","1","310.00","447","13","69.35"
"43955","21575109227","2024-11-15","2024-11-15","1","310.00","447","13","69.35"
"44023","21590217034","2024-11-17","2024-11-17","1","310.00","447","13","69.35"
"44112","21605442710","2024-11-20","2024-11-20","1","310.00","447","13","69.35"
"44126","21606666823","2024-11-20","2024-11-20","1","310.00","447","13","69.35"
